name,online_order,book_table,rate,votes,rest_type,cuisines,cost2plates,type,location
Inchara Restaurant,Yes,No,3,0,Quick Bites,"North Indian, Chinese",300,Delivery,Banashankari
Toscano,Yes,Yes,4,1129,Casual Dining,others,1300,Delivery,Banashankari
Lord Of The Kitchen,Yes,No,3,56,Quick Bites,"North Indian, Chinese",350,Delivery,Banashankari
Stoned Monkey,Yes,No,4,860,Dessert Parlor,"Desserts, Ice Cream",500,Delivery,Banashankari
Central Jail Restaurant,Yes,No,3,412,Casual Dining,others,700,Delivery,Banashankari
Bella,Yes,Yes,3,142,Casual Dining,others,1000,Delivery,Banashankari
Vennela Andhra Meals,Yes,No,3,23,Quick Bites,Andhra,400,Delivery,Banashankari
New Prashanth Hotel,Yes,No,3,143,Casual Dining,others,750,Delivery,Banashankari
The Grillo,Yes,Yes,2,80,Casual Dining,others,500,Delivery,Banashankari
Re Malnad Nati Style Hotel,Yes,No,3,16,Casual Dining,South Indian,400,Delivery,Banashankari
Karma Kaapi,Yes,No,4,181,others,others,250,Delivery,Banashankari
Tiwari's,Yes,No,3,70,Quick Bites,"North Indian, Street Food",200,Delivery,Banashankari
Pizza Stop,Yes,No,3,164,Quick Bites,others,600,Delivery,Banashankari
Biggies Burger 'n' More,Yes,No,3,58,Quick Bites,others,650,Delivery,Banashankari
Srinathji's Cafe,No,No,3,148,others,others,550,Delivery,Banashankari
Kollapuri's,No,No,3,206,Quick Bites,others,450,Delivery,Banashankari
Sugar Stars Co,No,No,3,0,Bakery,"Bakery, Desserts",300,Delivery,Banashankari
Bombay Kulfis,No,No,3,0,Dessert Parlor,Ice Cream,200,Delivery,Banashankari
Kadamba Classic,No,No,3,16,Quick Bites,South Indian,300,Delivery,Banashankari
RS Shiv Sagar,No,No,3,217,Casual Dining,others,450,Delivery,Banashankari
Kholi Mane,No,No,3,46,Quick Bites,others,450,Delivery,Banashankari
Harshi Super Sandwich,No,No,3,148,Quick Bites,others,150,Delivery,Banashankari
Cake Yard,No,No,3,30,Dessert Parlor,Desserts,250,Delivery,Banashankari
Rosewood International Hotel - Bar & Restaurant,No,No,3,8,Casual Dining,others,800,Delivery,Banashankari
Sri Udupi Veg,No,No,3,4,Quick Bites,South Indian,250,Delivery,Banashankari
Cake Art,No,No,3,15,others,Bakery,400,Delivery,Banashankari
Aahar Cafe,No,No,3,0,Quick Bites,South Indian,100,Delivery,Banashankari
